UniProtKB:Q7L5A8	FA2H	fatty acid hydroxylase pthr12863
UniProtKB:Q9NZ01	TECR	3-oxo-5-alpha-steroid 4-dehydrogenase pthr10556
UniProtKB:Q9BUT1	BDH2	family not named pthr24321
UniProtKB:O14832	PHYH	phytanoyl-coa alpha-hydroxylase pthr21308
UniProtKB:Q8TBF2	FAM213B	
UniProtKB:P09917	ALOX5	lipoxygenase pthr11771
UniProtKB:Q16873	LTC4S	microsomal glutathione s-transferase pthr10250
UniProtKB:A0A0A0MT35	FAM213B	
UniProtKB:P11177	PDHB	dehydrogenase related pthr11624
UniProtKB:P22307	SCP2	family not named pthr24314
UniProtKB:Q86SK9	SCD5	acyl-coa desaturase pthr11351
UniProtKB:O00767	SCD	acyl-coa desaturase pthr11351
UniProtKB:O43808	SLC25A17	family not named pthr24089
UniProtKB:Q03167	TGFBR3	endoglin/tgf-beta receptor type iii pthr14002
UniProtKB:P15428	HPGD	family not named pthr24310
UniProtKB:P16152	CBR1	family not named pthr24322
UniProtKB:P23219	PTGS1	prostaglandin g/h synthase pthr11903
UniProtKB:Q9Y4H2	IRS2	insulin receptor substrate pthr10614
UniProtKB:Q9UJ83	HACL1	thiamine pyrophosphate enzymes pthr18968
UniProtKB:Q8N8N7	PTGR2	alcohol dehydrogenase related pthr11695
UniProtKB:P28328	PEX2	peroxisomal protein related pthr12590
UniProtKB:P51589	CYP2J2	family not named pthr24300
UniProtKB:Q9NUI1	DECR2	family not named pthr24315
UniProtKB:O15121	DEGS1	sphingolipid delta 4 desaturase/c-4 hydroxylase protein des2 pthr12879
UniProtKB:P24903	CYP2F1	family not named pthr24300
UniProtKB:P10632	CYP2C8	family not named pthr24300
UniProtKB:Q16696	CYP2A13	family not named pthr24300
UniProtKB:P20813	CYP2B6	family not named pthr24300
UniProtKB:P33260	CYP2C18	family not named pthr24300
UniProtKB:P35354	PTGS2	prostaglandin g/h synthase pthr11903
UniProtKB:Q02928	CYP4A11	family not named pthr24290
UniProtKB:P04798	CYP1A1	family not named pthr24299
UniProtKB:Q03181	PPARD	nuclear hormone receptor pthr24082
UniProtKB:E9PPW5	SC5D	
UniProtKB:D6R952	MSMO1	
UniProtKB:D6RDP9	MSMO1	
UniProtKB:E9PQ91	SC5D	
UniProtKB:Q08AH1	ACSM1	family not named pthr24095
UniProtKB:Q9BYJ1	ALOXE3	lipoxygenase pthr11771
UniProtKB:Q6ZWL3	CYP4V2	family not named pthr24290
UniProtKB:O95822	MLYCD	family not named pthr32032
UniProtKB:P36969	GPX4	glutathione peroxidase pthr11592
UniProtKB:P35568	IRS1	insulin receptor substrate pthr10614
UniProtKB:A0A087WYT3	PTGES3	
UniProtKB:Q99735	MGST2	microsomal glutathione s-transferase pthr10250
UniProtKB:A0A087WW23	ALOX5AP	
UniProtKB:P11509	CYP2A6	family not named pthr24300
UniProtKB:P05181	CYP2E1	family not named pthr24300
UniProtKB:P11712	CYP2C9	family not named pthr24300
UniProtKB:P33261	CYP2C19	family not named pthr24300
UniProtKB:H0YFD6	HADHA	
UniProtKB:A0A0A0MSE2	HADH	
UniProtKB:A0A087WW38	CRYL1	
UniProtKB:P98187	CYP4F8	
UniProtKB:P78329	CYP4F2	family not named pthr24290
UniProtKB:Q9HCS2	CYP4F12	family not named pthr24290
UniProtKB:Q6NT55	CYP4F22	family not named pthr24290
UniProtKB:Q07869	PPARA	nuclear hormone receptor pthr24082
UniProtKB:O75342	ALOX12B	lipoxygenase pthr11771
UniProtKB:O15296	ALOX15B	lipoxygenase pthr11771
UniProtKB:Q15672	TWIST1	basic helix-loop-helix transcription factor, twist pthr23349
UniProtKB:P10635	CYP2D6	
UniProtKB:P31749	AKT1	akt-related serine/threonine-protein kinase pthr24352
UniProtKB:P18054	ALOX12	lipoxygenase pthr11771
UniProtKB:P05177	CYP1A2	
UniProtKB:P40394	ADH7	alcohol dehydrogenase related pthr11695
UniProtKB:Q9BV79	MECR	alcohol dehydrogenase related pthr11695
UniProtKB:P52895	AKR1C2	aldo/keto reductase pthr11732
UniProtKB:Q16654	PDK4	pyruvate dehydrogenase kinase pthr11947
UniProtKB:P42330	AKR1C3	aldo/keto reductase pthr11732
UniProtKB:Q86V24	ADIPOR2	adipor/progestin receptor-related pthr20855
UniProtKB:Q96A54	ADIPOR1	adipor/progestin receptor-related pthr20855
UniProtKB:P02647	APOA1	apolipoprotein pthr18976
UniProtKB:P08559	PDHA1	pyruvate dehydrogenase e1 component, alpha subunit (bacterial and organellar) pthr11516
UniProtKB:Q92968	PEX13	peroxisomal membrane protein pex13 pthr19332
UniProtKB:P51649	ALDH5A1	aldehyde dehydrogenase-related pthr11699
UniProtKB:P16050	ALOX15	lipoxygenase pthr11771
UniProtKB:O14561	NDUFAB1	acyl carrier protein/zinc finger protein 593-related pthr20863
UniProtKB:Q9Y6E7	SIRT4	chromatin regulatory protein sir2 pthr11085
UniProtKB:P11766	ADH5	alcohol dehydrogenase related pthr11695
UniProtKB:O15439	ABCC4	family not named pthr24223
UniProtKB:P59768	GNG2	guanine nucleotide-binding protein gamma subunit pthr13809
UniProtKB:P20800	EDN2	endothelin pthr13874
UniProtKB:Q02252	ALDH6A1	aldehyde dehydrogenase-related pthr11699
UniProtKB:Q9UGJ0	PRKAG2	amp-activated protein kinase, gamma regulatory subunit pthr13780
UniProtKB:Q9UBK2	PPARGC1A	peroxisome proliferator activated receptor gamma coactivator 1 (pgc-1)-related pthr15528
UniProtKB:P06727	APOA4	
UniProtKB:Q15800	MSMO1	sterol desaturase pthr11863
UniProtKB:Q15848	ADIPOQ	complement c1q-related pthr24022
UniProtKB:P09622	DLD	disulfide oxidoreductase pthr22912
UniProtKB:O00330	PDHX	dihydrolipoamide acetyl/succinyl-transferase-related pthr23151
UniProtKB:P10515	DLAT	dihydrolipoamide acetyl/succinyl-transferase-related pthr23151
UniProtKB:P16671	CD36	scavenger receptor class b type-1 (sr-b1) pthr11923
UniProtKB:Q92570	NR4A3	nuclear hormone receptor pthr24085
UniProtKB:P02649	APOE	apolipoprotein pthr18976
UniProtKB:Q96EB6	SIRT1	chromatin regulatory protein sir2 pthr11085
UniProtKB:P23510	TNFSF4	ox40 ligand pthr17534
UniProtKB:P12821	ACE	angiotensin-converting enzyme pthr10514
UniProtKB:P04233	CD74	hla class ii gamma chain pthr14093
UniProtKB:P07996	THBS1	thrombospondin pthr10199
UniProtKB:Q16678	CYP1B1	
UniProtKB:P05305	EDN1	endothelin pthr13874
UniProtKB:Q03135	CAV1	caveolin pthr10844
UniProtKB:P43405	SYK	tyrosine-protein kinase pthr24418
UniProtKB:P35228	NOS2	flavodoxin-related pthr19384
UniProtKB:P01308	INS	insulin/insulin growth factor pthr11454
UniProtKB:O15055	PER2	period circadian protein pthr11269
UniProtKB:P07203	GPX1	glutathione peroxidase pthr11592
UniProtKB:Q7Z2X4	PID1	family not named pthr16265
UniProtKB:Q99731	CCL19	small inducible cytokine a pthr12015
UniProtKB:Q5D1E8	ZC3H12A	n4bp1-related pthr12876
UniProtKB:P41159	LEP	leptin pthr11724
UniProtKB:Q8N474	SFRP1	frizzled pthr11309
UniProtKB:P32248	CCR7	chemokine receptor pthr24227
